id,airline,flight_number,departure_airport,arrival_airport,departure_time,arrival_time,departure_gate,arrival_gate
30469,OO,6234,ABQ,SFO,2024-06-10 09:38:00,2024-06-10 11:12:00,A46,C4
30470,AS,318,SEA,SFO,2024-06-10 09:40:00,2024-06-10 11:44:00,A9,A18
30471,UA,1748,SFO,AUS,2024-06-10 10:04:00,2024-06-10 15:22:00,C10,E33
30472,UA,1922,SFO,EWR,2024-06-10 09:53:00,2024-06-10 18:34:00,B40,A18
30473,AA,159,SFO,DFW,2024-06-10 10:16:00,2024-06-10 15:27:00,C43,D10
30474,US,433,PHX,SFO,2024-06-10 10:43:00,2024-06-10 12:54:00,C26,A34
30475,WN,4291,MKE,SFO,2024-06-10 10:28:00,2024-06-10 12:53:00,C15,C21
30476,UA,1559,ORD,SFO,2024-06-10 10:39:00,2024-06-10 13:05:00,B41,C3
30477,UA,1526,SFO,DEN,2024-06-10 10:57:00,2024-06-10 14:26:00,D50,B28
30478,US,403,SFO,PHL,2024-06-10 10:44:00,2024-06-10 18:55:00,C1,A12
30479,OO,6336,RNO,SFO,2024-06-10 10:44:00,2024-06-10 11:43:00,A7,B11
30480,UA,624,SFO,ORD,2024-06-10 10:55:00,2024-06-10 17:20:00,C3,E31
30481,UA,650,IAD,SFO,2024-06-10 10:59:00,2024-06-10 13:31:00,C23,E35
30482,DL,2375,SLC,SFO,2024-06-10 11:03:00,2024-06-10 11:57:00,E50,E37
30483,DL,1680,ATL,SFO,2024-06-10 11:40:00,2024-06-10 13:26:00,A6,B42
30484,VX,905,LAS,SFO,2024-06-10 11:10:00,2024-06-10 12:39:00,A23,C36
30485,UA,1531,SEA,SFO,2024-06-10 11:17:00,2024-06-10 13:16:00,A30,B16
30486,WN,277,SFO,MDW,2024-06-10 11:28:00,2024-06-10 17:28:00,A46,D46
30487,OO,5187,SNA,SFO,2024-06-10 13:11:00,2024-06-10 14:50:00,B37,B16
30488,VX,954,SFO,SAN,2024-06-10 12:10:00,2024-06-10 13:35:00,A30,B25
30489,UA,1298,IAD,SFO,2024-06-10 12:57:00,2024-06-10 15:08:00,E28,C9
30490,AA,2438,SFO,LAX,2024-06-10 12:26:00,2024-06-10 13:50:00,B36,E11
30491,AA,16,SFO,JFK,2024-06-10 12:32:00,2024-06-10 21:07:00,E20,C11
30492,VX,903,LAS,SFO,2024-06-10 12:55:00,2024-06-10 14:17:00,B37,D23
30493,OO,5400,ONT,SFO,2024-06-10 12:41:00,2024-06-10 14:02:00,E25,E22
30494,UA,1273,SFO,OGG,2024-06-10 14:52:00,2024-06-10 16:50:00,C13,E44
30495,WN,3770,SFO,LAX,2024-06-10 12:46:00,2024-06-10 14:04:00,C39,B30
30496,AS,381,SFO,PDX,2024-06-10 12:59:00,2024-06-10 14:41:00,C1,E34
30497,VX,251,LAS,SFO,2024-06-10 12:59:00,2024-06-10 14:21:00,B34,E6
30498,OO,5374,SFO,RDM,2024-06-10 12:53:00,2024-06-10 14:20:00,C40,C42
30499,OO,6383,SLC,SFO,2024-06-10 12:48:00,2024-06-10 13:51:00,E42,B25
30500,OO,6301,SNA,SFO,2024-06-10 12:52:00,2024-06-10 14:26:00,C12,C22
30501,UA,300,SFO,HNL,2024-06-10 13:08:00,2024-06-10 15:09:00,C6,D20
30502,UA,759,SFO,EWR,2024-06-10 12:59:00,2024-06-10 21:32:00,B11,A28
30503,UA,362,LIH,SFO,2024-06-10 12:57:00,2024-06-10 21:43:00,B3,D24
30504,UA,1938,SAN,SFO,2024-06-10 13:16:00,2024-06-10 15:02:00,E9,A46
30505,OO,6369,SFO,SAN,2024-06-10 14:28:00,2024-06-10 16:05:00,B41,E8
30506,OO,6408,SFO,EUG,2024-06-10 13:15:00,2024-06-10 14:47:00,C29,A9
30507,WN,1978,LAS,SFO,2024-06-10 13:30:00,2024-06-10 14:48:00,B22,E20
30508,OO,5504,MFR,SFO,2024-06-10 13:35:00,2024-06-10 14:46:00,E46,B31
30509,AS,400,PDX,SFO,2024-06-10 13:21:00,2024-06-10 15:05:00,E17,B39
30510,UA,569,PDX,SFO,2024-06-10 14:02:00,2024-06-10 15:40:00,E1,C27
30511,OO,5543,SFO,BOI,2024-06-10 13:26:00,2024-06-10 16:18:00,E8,C33
30512,UA,1199,SFO,SEA,2024-06-10 13:55:00,2024-06-10 16:01:00,D25,D48
30513,B6,416,SFO,JFK,2024-06-10 13:51:00,2024-06-10 22:40:00,A32,E43
30514,US,407,PHX,SFO,2024-06-10 13:50:00,2024-06-10 15:47:00,D25,C26
30515,VX,929,LAX,SFO,2024-06-10 13:59:00,2024-06-10 15:09:00,C42,C12
30516,UA,257,JFK,SFO,2024-06-10 13:54:00,2024-06-10 16:40:00,D36,C27
30517,AA,330,DFW,SFO,2024-06-10 14:07:00,2024-06-10 15:44:00,C7,D50
30518,OO,6454,RNO,SFO,2024-06-10 14:12:00,2024-06-10 15:28:00,C21,B31
30519,AA,931,SFO,MIA,2024-06-10 14:15:00,2024-06-10 22:52:00,D36,D26
30520,B6,578,SFO,FLL,2024-06-10 15:22:00,2024-06-10 23:55:00,E6,B24
30521,WN,3934,SAN,SFO,2024-06-10 15:09:00,2024-06-10 16:29:00,B50,D10
30522,VX,90,SFO,IAD,2024-06-10 14:51:00,2024-06-10 22:53:00,B45,E47
30523,VX,913,LAS,SFO,2024-06-10 14:42:00,2024-06-10 16:16:00,B17,D22
30524,DL,2349,SLC,SFO,2024-06-10 14:49:00,2024-06-10 15:42:00,B3,D29
30525,DL,2770,SFO,LAX,2024-06-10 15:25:00,2024-06-10 16:47:00,B2,A50
30526,DL,2752,LAX,SFO,2024-06-10 15:42:00,2024-06-10 16:59:00,A20,D44
30527,DL,1593,MSP,SFO,2024-06-10 15:00:00,2024-06-10 16:54:00,C45,E5
30528,WN,1009,SFO,MDW,2024-06-10 15:13:00,2024-06-10 22:24:00,E38,C11
30529,UA,711,LAS,SFO,2024-06-10 19:12:00,2024-06-10 20:48:00,E32,D33
30530,AA,85,JFK,SFO,2024-06-10 15:22:00,2024-06-10 18:22:00,D28,E38
30531,AA,2475,ORD,SFO,2024-06-10 15:28:00,2024-06-10 18:17:00,A1,A39
30532,WN,4125,SNA,SFO,2024-06-10 15:41:00,2024-06-10 17:01:00,B29,C19
30533,UA,390,SFO,ORD,2024-06-10 15:44:00,2024-06-10 21:54:00,D5,A1
30534,UA,1456,SFO,EWR,2024-06-10 16:23:00,2024-06-11 00:37:00,B20,D37
30535,OO,5638,SFO,SBA,2024-06-10 16:05:00,2024-06-10 17:23:00,E2,B5
30536,DL,2040,SFO,JFK,2024-06-10 16:16:00,2024-06-11 00:31:00,D23,E13
30537,OO,6238,SFO,LAX,2024-06-10 16:13:00,2024-06-10 17:49:00,C19,E50
30538,B6,1436,LGB,SFO,2024-06-10 16:52:00,2024-06-10 18:05:00,C42,C18
30539,B6,915,JFK,SFO,2024-06-10 16:27:00,2024-06-10 19:34:00,D4,A19
30540,US,2029,CLT,SFO,2024-06-10 18:22:00,2024-06-10 20:35:00,E45,C17
30541,VX,923,LAX,SFO,2024-06-10 16:32:00,2024-06-10 17:50:00,E36,C26
30542,UA,502,SFO,JFK,2024-06-10 16:54:00,2024-06-11 01:09:00,C5,B40
30543,AS,302,SEA,SFO,2024-06-10 16:40:00,2024-06-10 18:37:00,A33,B19
30544,VX,755,SEA,SFO,2024-06-10 17:04:00,2024-06-10 19:06:00,E27,A34
30545,VX,963,SAN,SFO,2024-06-10 16:59:00,2024-06-10 18:28:00,D29,B25
30546,UA,1753,ORD,SFO,2024-06-10 17:42:00,2024-06-10 20:15:00,A16,D48
30547,VX,2,DCA,SFO,2024-06-10 17:05:00,2024-06-10 19:33:00,B37,D38
30548,VX,222,SFO,AUS,2024-06-10 17:07:00,2024-06-10 22:30:00,B40,A37
30549,UA,1579,SFO,LAX,2024-06-10 17:26:00,2024-06-10 19:13:00,D1,C14
30550,UA,512,JFK,SFO,2024-06-10 17:38:00,2024-06-10 21:05:00,D25,C44
30551,AA,1540,SFO,ORD,2024-06-10 17:27:00,2024-06-10 23:32:00,E35,A5
30552,WN,689,SFO,SNA,2024-06-10 17:42:00,2024-06-10 19:02:00,D29,C23
30553,VX,936,SFO,LAX,2024-06-10 17:40:00,2024-06-10 19:32:00,C3,D48
30554,UA,737,DEN,SFO,2024-06-10 17:35:00,2024-06-10 19:14:00,E5,D42
30555,UA,1497,MSP,SFO,2024-06-10 18:00:00,2024-06-10 19:54:00,B46,B49
30556,OO,6356,SBA,SFO,2024-06-10 17:54:00,2024-06-10 18:58:00,D10,D27
30557,OO,5601,PHX,SFO,2024-06-10 17:40:00,2024-06-10 19:41:00,E27,E24
30558,UA,508,SEA,SFO,2024-06-10 18:51:00,2024-06-10 20:57:00,C39,C18
30559,AA,177,JFK,SFO,2024-06-10 17:53:00,2024-06-10 21:26:00,B46,C50
30560,VX,918,SFO,LAS,2024-06-10 18:09:00,2024-06-10 19:39:00,A6,C4
30561,DL,431,JFK,SFO,2024-06-10 18:13:00,2024-06-10 21:49:00,A17,B5
30562,UA,277,PHL,SFO,2024-06-10 18:29:00,2024-06-10 21:20:00,B6,A47
30563,WN,799,SFO,PHX,2024-06-10 18:33:00,2024-06-10 20:17:00,E29,C3
30564,VX,941,LAX,SFO,2024-06-10 18:27:00,2024-06-10 19:48:00,C26,A27
30565,F9,668,SFO,DEN,2024-06-10 20:40:00,2024-06-10 23:59:00,D41,B32
30566,UA,1681,RDU,SFO,2024-06-10 18:48:00,2024-06-10 21:18:00,B42,C25
30567,UA,560,SFO,DFW,2024-06-10 18:50:00,2024-06-11 00:02:00,E46,D40
30568,VX,357,BOS,SFO,2024-06-10 18:53:00,2024-06-10 22:46:00,E15,B28
30569,WN,4037,SAN,SFO,2024-06-10 18:57:00,2024-06-10 20:19:00,E20,E37
30570,OO,5553,SFO,RNO,2024-06-10 19:00:00,2024-06-10 19:57:00,D34,D33
30571,UA,1717,SEA,SFO,2024-06-10 19:32:00,2024-06-10 21:29:00,D20,D46
30572,UA,1944,LAX,SFO,2024-06-10 19:50:00,2024-06-10 21:04:00,C11,A23
30573,UA,1942,SFO,SAN,2024-06-10 19:23:00,2024-06-10 20:46:00,B32,A7
30574,UA,1643,IAD,SFO,2024-06-10 22:59:00,2024-06-11 01:28:00,B47,B30
30575,UA,587,SFO,SNA,2024-06-10 19:25:00,2024-06-10 20:50:00,C8,A48
30576,OO,6338,SAN,SFO,2024-06-10 19:49:00,2024-06-10 21:17:00,D2,B41
30577,AS,337,SFO,SEA,2024-06-10 19:33:00,2024-06-10 21:42:00,C27,B19
30578,UA,234,SEA,SFO,2024-06-10 19:41:00,2024-06-10 21:37:00,D26,D46
30579,UA,1666,BOS,SFO,2024-06-10 19:46:00,2024-06-10 23:18:00,E23,C50
30580,DL,2209,MSP,SFO,2024-06-10 19:59:00,2024-06-10 21:54:00,E36,E14
30581,UA,1556,SFO,PDX,2024-06-10 20:31:00,2024-06-10 22:05:00,B17,E27
30582,WN,2336,MKE,SFO,2024-06-10 20:21:00,2024-06-10 22:48:00,B3,A20
30583,OO,6432,SNA,SFO,2024-06-10 19:56:00,2024-06-10 21:20:00,D45,C11
30584,WN,503,SFO,SNA,2024-06-10 20:03:00,2024-06-10 21:26:00,E28,D39
30585,UA,3,SFO,SAN,2024-06-10 19:51:00,2024-06-10 21:21:00,B3,B42
30586,DL,2782,LAX,SFO,2024-06-10 19:54:00,2024-06-10 21:23:00,C1,C6
30587,WN,2959,SFO,LAS,2024-06-10 19:58:00,2024-06-10 21:29:00,A5,D27
30588,B6,1636,LGB,SFO,2024-06-10 20:00:00,2024-06-10 21:29:00,B30,B17
30589,DL,373,DTW,SFO,2024-06-10 20:04:00,2024-06-10 22:03:00,B33,E49
30590,UA,1437,ORD,SFO,2024-06-10 20:53:00,2024-06-10 23:37:00,A16,D50
30591,WN,50,DAL,SFO,2024-06-10 21:00:00,2024-06-10 22:32:00,E41,C46
30592,WN,345,SAN,SFO,2024-06-10 20:29:00,2024-06-10 21:54:00,A26,E43
30593,WN,135,SFO,DEN,2024-06-10 20:18:00,2024-06-10 23:26:00,A14,A13
30594,WN,4929,SFO,LAX,2024-06-10 20:16:00,2024-06-10 21:53:00,C47,E12
30595,UA,751,SFO,SEA,2024-06-10 22:14:00,2024-06-11 00:13:00,B5,B49
30596,OO,5648,BUR,SFO,2024-06-10 20:05:00,2024-06-10 21:35:00,C14,D34
30597,AS,223,SFO,PDX,2024-06-10 20:47:00,2024-06-10 22:29:00,B19,E49
30598,AS,301,SFO,SEA,2024-06-10 20:29:00,2024-06-10 22:25:00,D13,D22
30599,WN,4824,LAX,SFO,2024-06-10 20:18:00,2024-06-10 21:36:00,E36,C21
30600,UA,311,SFO,PHX,2024-06-10 20:46:00,2024-06-10 22:37:00,D1,D24
30601,OO,6398,SFO,FAT,2024-06-10 20:25:00,2024-06-10 21:31:00,E5,E14
30602,OO,5528,RNO,SFO,2024-06-10 20:24:00,2024-06-10 21:32:00,B17,E35
30603,B6,1515,JFK,SFO,2024-06-10 20:43:00,2024-06-11 00:04:00,E41,A38
30604,B6,2689,LAS,SFO,2024-06-10 20:59:00,2024-06-10 22:21:00,C50,A7
30605,VX,948,SFO,LAX,2024-06-10 20:37:00,2024-06-10 22:07:00,E20,E9
30606,OO,5555,SFO,ACV,2024-06-10 20:43:00,2024-06-10 21:52:00,E4,D47
30607,VX,964,SFO,SAN,2024-06-10 20:53:00,2024-06-10 22:16:00,B3,A6
30608,UA,1137,LIH,SFO,2024-06-10 20:46:00,2024-06-11 04:48:00,E2,A19
30609,UA,704,SFO,JFK,2024-06-10 20:55:00,2024-06-11 05:21:00,A8,A46
30610,UA,1401,SFO,SAN,2024-06-10 21:12:00,2024-06-10 22:42:00,C39,C18
30611,OO,6503,SFO,EUG,2024-06-10 21:10:00,2024-06-10 22:48:00,B31,E41
30612,AS,384,PDX,SFO,2024-06-10 21:34:00,2024-06-10 23:14:00,C17,E20
30613,VX,182,SFO,EWR,2024-06-10 21:35:00,2024-06-11 05:44:00,B4,C15
30614,UA,1731,SFO,SEA,2024-06-10 22:46:00,2024-06-11 00:52:00,C39,E47
30615,US,557,CLT,SFO,2024-06-10 22:10:00,2024-06-11 00:30:00,C25,D27
30616,WN,50,SFO,LAS,2024-06-10 23:09:00,2024-06-11 00:26:00,A38,D47
30617,UA,423,DEN,SFO,2024-06-10 22:30:00,2024-06-10 23:54:00,C34,A42
30618,UA,1247,SFO,SAN,2024-06-10 22:28:00,2024-06-11 00:01:00,B38,D26
30619,UA,1753,SFO,MCO,2024-06-10 23:04:00,2024-06-11 07:21:00,D5,A27
30620,OO,5443,SFO,RDD,2024-06-10 22:26:00,2024-06-10 23:29:00,E40,D13
30621,OO,6422,SFO,SMX,2024-06-10 22:43:00,2024-06-10 23:47:00,A26,B23
30622,UA,1728,SFO,ATL,2024-06-10 23:01:00,2024-06-11 06:58:00,D18,B22
30623,OO,5422,SFO,ONT,2024-06-10 22:45:00,2024-06-11 00:10:00,D44,D50
30624,OO,5363,SFO,SBP,2024-06-10 22:41:00,2024-06-10 23:42:00,A42,B5
30625,OO,6220,SFO,RNO,2024-06-10 22:50:00,2024-06-11 00:06:00,C36,C21
30626,OO,6412,SFO,EUG,2024-06-10 22:51:00,2024-06-11 00:38:00,B4,A50
30627,UA,522,SFO,PDX,2024-06-10 23:21:00,2024-06-11 01:01:00,B39,B23
30628,UA,1717,SFO,ORD,2024-06-10 23:20:00,2024-06-11 05:21:00,A3,C36
30629,UA,1600,SFO,IAD,2024-06-10 23:28:00,2024-06-11 07:29:00,C9,B10
30630,B6,278,SFO,FLL,2024-06-10 23:20:00,2024-06-11 07:40:00,C3,E50
30631,UA,1118,SFO,EWR,2024-06-10 02:40:00,2024-06-10 11:08:00,B28,E18
30632,AA,272,SFO,MIA,2024-06-10 23:56:00,2024-06-11 08:29:00,A43,A38
30633,US,1965,SFO,CLT,2024-06-11 00:00:00,2024-06-11 08:00:00,C48,B1
30634,AA,1454,SFO,DFW,2024-06-11 05:11:00,2024-06-11 10:21:00,B20,D24
30635,UA,1725,SEA,SFO,2024-06-11 05:11:00,2024-06-11 07:10:00,C18,D19
30636,UA,256,DEN,SFO,2024-06-11 05:34:00,2024-06-11 07:00:00,B40,B50
30637,UA,568,SFO,EWR,2024-06-11 05:56:00,2024-06-11 14:21:00,D26,D23
30638,F9,660,SFO,DEN,2024-06-11 06:00:00,2024-06-11 09:28:00,D29,A1
30639,OO,5509,DFW,SFO,2024-06-11 05:57:00,2024-06-11 07:56:00,B22,C43
30640,UA,273,SFO,SEA,2024-06-11 05:53:00,2024-06-11 07:54:00,D10,C14
30641,UA,415,JFK,SFO,2024-06-11 05:51:00,2024-06-11 09:03:00,A34,D14
30642,UA,1937,BWI,SFO,2024-06-11 06:11:00,2024-06-11 08:52:00,D1,C7
30643,DL,1210,SFO,ATL,2024-06-11 06:07:00,2024-06-11 13:45:00,C41,B18
30644,DL,2566,SFO,MSP,2024-06-11 06:12:00,2024-06-11 11:49:00,D26,E41
30645,B6,16,SFO,JFK,2024-06-11 06:40:00,2024-06-11 15:04:00,D46,B22
30646,AS,311,PSP,SFO,2024-06-11 06:52:00,2024-06-11 08:24:00,D46,D49
30647,B6,15,JFK,SFO,2024-06-11 06:45:00,2024-06-11 09:52:00,E2,B46
30648,UA,1440,LAS,SFO,2024-06-11 06:44:00,2024-06-11 08:04:00,B36,C16
30649,UA,1927,EWR,SFO,2024-06-11 06:55:00,2024-06-11 10:04:00,E50,A9
30650,AA,1232,SFO,LAX,2024-06-11 07:24:00,2024-06-11 08:53:00,E42,E3
30651,DL,2755,LAX,SFO,2024-06-11 06:54:00,2024-06-11 08:41:00,A47,B6
30652,VX,350,SFO,BOS,2024-06-11 06:54:00,2024-06-11 15:22:00,D12,C31
30653,VX,352,SAN,SFO,2024-06-11 06:52:00,2024-06-11 08:33:00,C21,A20
30654,OO,6400,EUG,SFO,2024-06-11 06:54:00,2024-06-11 08:19:00,B25,A38
30655,UA,758,SFO,JFK,2024-06-11 06:55:00,2024-06-11 15:28:00,D47,B5
30656,OO,4975,STL,SFO,2024-06-11 09:37:00,2024-06-11 12:09:00,C4,A3
30657,UA,1602,LAX,SFO,2024-06-11 06:59:00,2024-06-11 08:47:00,D21,E30
30658,OO,6329,ACV,SFO,2024-06-11 07:03:00,2024-06-11 08:26:00,E19,D15
30659,DL,240,SFO,ATL,2024-06-11 07:27:00,2024-06-11 15:56:00,D24,C15
30660,VX,183,EWR,SFO,2024-06-11 07:30:00,2024-06-11 10:34:00,A34,B20
30661,VX,740,SFO,SEA,2024-06-11 07:26:00,2024-06-11 09:24:00,C37,D12
30662,VX,950,SFO,SAN,2024-06-11 07:24:00,2024-06-11 08:49:00,C34,C12
30663,UA,294,SEA,SFO,2024-06-11 07:35:00,2024-06-11 10:02:00,D5,D32
30664,AA,15,JFK,SFO,2024-06-11 07:59:00,2024-06-11 11:12:00,A46,A15
30665,DL,2049,ATL,SFO,2024-06-11 08:13:00,2024-06-11 10:07:00,C44,C4
30666,OO,6442,SFO,LAX,2024-06-11 08:12:00,2024-06-11 10:06:00,B29,C7
30667,AA,36,SFO,DFW,2024-06-11 08:22:00,2024-06-11 13:42:00,D27,C31
30668,UA,325,SFO,BOS,2024-06-11 08:24:00,2024-06-11 17:03:00,B21,B14
30669,DL,745,DTW,SFO,2024-06-11 08:45:00,2024-06-11 10:29:00,A2,B3
30670,OO,5613,SFO,BFL,2024-06-11 08:35:00,2024-06-11 09:42:00,E35,E42
30671,OO,5456,SFO,ONT,2024-06-11 08:36:00,2024-06-11 10:01:00,A50,B22
30672,UA,898,SFO,JFK,2024-06-11 08:40:00,2024-06-11 17:20:00,A37,B15
30673,OO,6380,SBA,SFO,2024-06-11 10:49:00,2024-06-11 12:56:00,A30,D25
30674,VX,1935,LAX,SFO,2024-06-11 09:45:00,2024-06-11 11:43:00,A35,E47
30675,OO,5223,SLC,SFO,2024-06-11 09:53:00,2024-06-11 11:05:00,E12,E30
30676,DL,434,JFK,SFO,2024-06-11 08:57:00,2024-06-11 12:15:00,E17,D44
30677,VX,902,SFO,LAS,2024-06-11 09:05:00,2024-06-11 10:51:00,E18,C12
30678,WN,4648,SFO,SNA,2024-06-11 09:09:00,2024-06-11 10:32:00,A26,C10
30679,DL,2757,LAX,SFO,2024-06-11 09:38:00,2024-06-11 11:08:00,B34,D24
30680,UA,1912,IAH,SFO,2024-06-11 10:40:00,2024-06-11 12:30:00,C29,A16
30681,AS,383,SFO,PDX,2024-06-11 09:06:00,2024-06-11 10:58:00,C44,C50
30682,WN,4379,SFO,SAN,2024-06-11 11:11:00,2024-06-11 12:33:00,D5,E34
30683,UA,1721,SFO,KOA,2024-06-11 09:13:00,2024-06-11 11:20:00,A3,E40
30684,UA,1914,EWR,SFO,2024-06-11 09:20:00,2024-06-11 12:12:00,A15,A50
30685,UA,1725,SFO,OGG,2024-06-11 09:27:00,2024-06-11 11:42:00,B45,E7
30686,WN,4099,SNA,SFO,2024-06-11 10:33:00,2024-06-11 12:27:00,E20,D13
30687,VX,904,SFO,LAS,2024-06-11 10:17:00,2024-06-11 11:38:00,B17,C35
30688,OO,4461,SFO,SLC,2024-06-11 10:42:00,2024-06-11 13:29:00,A26,C3
30689,AA,179,JFK,SFO,2024-06-11 10:26:00,2024-06-11 13:22:00,C30,B31
30690,OO,6197,BUR,SFO,2024-06-11 10:32:00,2024-06-11 11:59:00,C24,E44
30691,OO,5454,SFO,SMF,2024-06-11 10:39:00,2024-06-11 11:33:00,A48,E13
30692,OO,5307,SFO,ONT,2024-06-11 10:40:00,2024-06-11 12:01:00,E47,E47
30693,OO,5629,SFO,EUG,2024-06-11 12:43:00,2024-06-11 14:10:00,B47,D2
30694,VX,905,LAS,SFO,2024-06-11 11:34:00,2024-06-11 13:40:00,D34,A42
30695,DL,745,SFO,DTW,2024-06-11 11:32:00,2024-06-11 19:02:00,E42,A33
30696,AS,306,SEA,SFO,2024-06-11 11:36:00,2024-06-11 14:09:00,A26,C26
30697,OO,5199,SFO,SLC,2024-06-11 11:50:00,2024-06-11 14:48:00,C47,B5
30698,US,574,SFO,PHX,2024-06-11 11:54:00,2024-06-11 13:47:00,C8,A11
